beds,baths,size,lot_size,price
3,2.5,2590,6000,795000
4,3,2040,3783,950000
4,3,3800,5175,1950000
1,1,670,6000,460000
5,3.5,4510,6000,3150000
3,2.5,1520,741,565000
4,2,2340,9500,699000
3,2,1320,1386,899000
3,2,1800,3993,1050000
3,2.5,2490,5757,935625
4,3,2650,6380,1511000
5,1.5,2560,5200,1330000
3,2.5,2974,3840,1750000
4,3.5,1989,1607,980000
2,2,1332,1101,845000
4,3,2668,5589,1213000
2,1,770,5250,530000
3,1.5,1280,9100,625000
5,3.5,3200,9260,1275000
3,2,3140,5000,1219700
4,2,2000,8077,907200
3,2.5,1690,1733,760000
4,5.5,3000,5520,1484000
3,3,1550,1400,950000
4,1.5,1940,8778,520000
3,2,1770,3349,805000
3,2.5,1500,1056,1070000
5,4,2920,6323,948000
3,2,2817,6375,912000
2,2,1280,3000,776000
2,1,1240,5038,750000
4,2.5,2280,3932,1065000
4,3.5,2478,2761,1580000
3,3,2360,6600,1775000
2,1,720,7500,600000
3,2,2480,5829,800000
3,2,1550,6720,1100000
2,1,780,3060,750000
5,3,2820,6250,865000
5,3,2900,3600,1450000
2,2,1092,5500,829000
3,2,1731,7514,575000
3,2.5,1500,8240,860000
2,2.5,1344,1110,770000
4,5.5,4040,8965,5495000
5,3,2820,6250,900000
3,1,1070,3840,575000
4,2,2100,4864,950000
3,2.5,2620,4080,1300000
3,2,1270,1333,727000
3,2,2702,6600,1605000
3,2,2350,7320,888000
4,1.5,2640,7440,1850000
3,1.5,1340,5120,615000
2,1,870,6554,555000
3,3.5,1510,1239,660000
3,1,1120,6096,615000
3,4,2220,974,1650000
4,3.5,2670,3405,1022700
2,1.5,1810,6827,925000
3,5.5,1530,1336,635000
2,1,820,5100,490000
3,2,1960,5000,950000
4,3.5,3010,4000,985000
3,1,2200,5000,1250000
4,4,3040,4000,1585000
3,2,1800,6180,936000
3,3,1450,525,750000
4,2,2400,5400,1385000
4,3.5,3057,7650,1800000
4,4,3142,6000,1600000
3,1,1050,3750,399950
3,2,1720,5000,855000
3,3.5,2650,8500,1095000
2,1.5,2680,6000,1125000
4,2.5,2550,5000,1560000
9,4,3800,6000,1343000
4,2,1910,6000,630000
4,3.5,2661,4081,1165000
4,3,2250,5250,1150000
4,1.5,2080,5000,950000
3,3.5,1370,982,699500
2,3,1840,9420,800000
5,8.5,3110,4455,1606500
2,2,1147,564,749950
2,2.5,1538,900,895000
2,1,1480,4600,720000
2,2,866,649,555000
4,3.5,2000,1532,870000
3,3.5,1470,1375,845000
2,2,1840,5000,1200000
4,2,2230,5940,925000
2,1.5,1290,1332,795000
3,2,1880,3200,911000
2,1.5,1300,3146,570288
5,4,2810,5000,1295000
4,2.5,2400,3200,1595000
3,2.5,2734,4000,1605200
3,2.5,1670,1687,865000
3,3,1530,2260,745000
4,1,1720,2835,543750
3,1,1200,5786,1099950
5,3,2030,5046,905000
3,2,2370,4865,1200000
3,1.5,1720,3825,825000
3,2,1590,8937,720000
2,1,840,4000,489000
5,2.5,2870,8741,520000
2,1.5,994,1494,580000
3,2,1630,6000,630000
3,2,1806,4400,799000
4,2.5,3060,4590,1450000
5,3.5,3820,7200,1350000
3,2.5,2350,7200,1582800
3,2.5,2080,9880,977000
3,1,1000,5960,710000
4,3,2230,9625,1205000
5,3,3130,5750,2095000
5,3,3750,5000,1580000
